repo,lang,typeCount,executableCount,fieldCount,interfaceCount,abstractCount,typesWithSuper,typesWithInterfaces
mybatis__ibatis-spring,Java,10,99,15,2,4,6,2
bitmovin__bitmovin-api-sdk-examples,Java,11,51,5,0,0,2,0
Zergatul__cheatutils,Java,29,89,13,0,26,0,3
tuya__tuya-ui-bizbundle-android-demo,Java,48,278,119,0,0,41,4
saicone__rtag,Java,49,840,2018,5,8,10,13
cybersonic__LuCLI,Java,128,1652,498,4,4,3,56
micronaut-projects__micronaut-mongodb,Java,36,160,78,3,6,2,14
mybatis__cdi,Java,12,55,27,0,3,3,4
wkspower__wks-platform,Java,364,1213,755,45,47,54,159
asdf2014__yuzhouwan,Java,266,1359,545,14,17,24,44
QAInsights__jmeter-ai,Java,147,1012,605,23,24,22,25
mbode__flink-prometheus-example,Java,3,9,7,0,0,1,1
themoah__klag,Java,0,0,0,0,0,0,0
vert-x3__vertx-starter,Java,21,93,72,3,3,8,5
quarkiverse__quarkus-google-cloud-services,Java,121,475,209,30,30,6,16
newrelic__newrelic-android-agent,Java,453,4427,1999,51,80,185,94
xdev-software__vaadin-maps-leaflet-flow,Java,125,1241,318,13,40,96,38
cdk8s-team__cdk8s-examples,Java,662,4360,43,0,0,153,0
TwelveIterations__Balm,Java,585,2756,730,181,209,102,249
gradlex-org__java-module-dependencies,Java,53,291,55,1,31,16,8
mojohaus__extra-enforcer-rules,Java,18,135,72,1,3,11,0
FIXTradingCommunity__fix-orchestra,Java,49,410,251,7,9,11,21
MeowDump__MeowAssistant,Java,22,119,31,0,1,20,0
apache__ant-ivy,Java,667,6937,2005,68,110,218,114
mekomsolutions__openmrs-module-initializer,Java,226,907,542,7,16,197,15
Crazy-Crew__CrazyEnvoys,Java,65,406,470,1,7,36,11
micronaut-projects__micronaut-r2dbc,Java,36,128,48,17,17,0,20
apache__maven-pmd-plugin,Java,109,364,151,4,8,19,8
AlexProgrammerDE__PistonQueue,Java,58,375,181,13,14,13,14
palantir__metric-schema,Java,33,170,49,9,16,6,2
JetBrains__teamcity-kubernetes-plugin,Java,52,352,172,15,18,9,28
eclipse-edc__IdentityHub,Java,493,2068,1429,129,137,138,240
rundeck-plugins__salt-step,Java,23,94,88,2,2,4,6
spdx__tools-java,Java,49,299,276,0,2,31,1
lipiridi__spotless-applier,Java,20,125,50,0,1,11,6
livk-cloud__spring-boot-extension,Java,319,1301,348,38,83,90,91
phax__phoss-ap,Java,151,1115,728,19,20,35,52
tzebrowski__ObdMetrics,Java,172,612,485,34,41,41,57
qdrant__java-client,Java,23,332,14,0,0,2,2
LucklySpace__Lucky-cloud,Java,1,13,3,0,0,0,0
Noaaan__MythicMetals,Java,0,0,0,0,0,0,0
Andromeda-Galaxy29__Psammos-Mod,Java,104,383,550,3,3,67,3
awslabs__aws-crt-java,Java,3,6,0,0,0,3,0
boostscale__velox4j,Java,162,712,313,10,24,94,33
orientechnologies__orientdb-gremlin,Java,59,532,131,3,5,25,30
palantir__tritium,Java,101,617,179,17,28,31,28
KI-AIM__Cinnamon,Java,63,372,79,1,1,36,1
wultra__powerauth-mobile-sdk,Java,247,847,327,0,3,31,0
ChrisCarini__jetbrains-auto-power-saver,Java,5,25,17,0,0,1,3
catatafishen__agentbridge,Java,1,0,0,0,0,0,0
Hyperfoil__Horreum,Java,277,1489,1005,30,40,85,63
lance-format__lance-spark,Java,26,107,7,0,0,0,0
jenkinsci__checks-api-plugin,Java,22,141,75,1,5,7,6
MysticMods__Roots,Java,0,0,0,0,0,0,0
messagebird__java-rest-api,Java,234,1732,878,3,5,53,35
gigabytedevelopers__FireFiles,Java,589,7308,4855,6,48,301,78
aeshell__aesh-readline,Java,285,2842,2023,22,40,79,86
quarkiverse__quarkus-web-bundler,Java,77,371,126,6,8,37,5
apache__maven-dependency-analyzer,Java,53,169,75,8,11,12,11
hivemq__helm-charts,Java,0,0,0,0,0,0,0
bancolombia__secrets-manager,Java,32,125,119,2,2,3,9
confluentinc__flink-cookbook,Java,69,262,128,1,1,19,4
phax__ph-commons,Java,1468,13606,4561,411,522,386,712
Aiven-Open__transforms-for-apache-kafka-connect,Java,21,133,70,0,7,8,12
