repo,lang,typeCount,stratum
societe-generale__arch-unit-build-plugin-core,Java,36,small
Cantara__Java-Auto-Update,Java,27,small
alina-yur__swiss-travel-advisor,Java,25,small
wiremock__wiremock-grpc-extension,Java,31,small
jenkinsci__git-forensics-plugin,Java,31,small
jenkins-infra__repository-permissions-updater,Java,31,small
huangsam__photohaul,Java,44,small
cronn__reflection-util,Java,29,small
camunda-community-hub__camunda-platform-7-mail,Java,38,small
taowater__ztream,Java,28,small
pivotal-cf__java-cfenv,Java,48,small
bancolombia__secrets-manager,Java,32,small
rundeck-plugins__salt-step,Java,23,small
micronaut-projects__micronaut-test,Java,42,small
Andre601__OneVersionRemake,Java,23,small
xzel23__cabe,Java,27,small
teaconmc__SlideShow,Java,45,small
HL7-DaVinci__prior-auth,Java,30,small
ihub-pub__libs,Java,33,small
ocadotechnology__test-arranger,Java,26,small
shinovon__mpgram-client,Java,40,small
spdx__Spdx-Java-Library,Java,45,small
quarkiverse__quarkus-fx,Java,48,small
GouravRusiya30__SpringBootRestAPI,Java,28,small
Tater-Certified__Oxidizium,Java,38,small
opensearch-project__query-insights,Java,89,medium
gradlex-org__jvm-dependency-conflict-resolution,Java,79,medium
PaperMC__adventure-platform-mod,Java,71,medium
spiffe__java-spiffe,Java,78,medium
jesuino__java-ml-projects,Java,55,medium
66-m__sorting-visualizer,Java,82,medium
eProsima__IDL-Parser,Java,62,medium
oras-project__oras-java,Java,54,medium
Lord-of-Algorithms__DSA-in-Java,Java,98,medium
vennarshulytz__validation-parent,Java,86,medium
elder-oss__sourcerer,Java,89,medium
gradlex-org__java-module-dependencies,Java,53,medium
Suiranoil__SkinRestorer,Java,97,medium
CloudburstMC__Network,Java,82,medium
bitcoinj__secp256k1-jdk,Java,61,medium
MattMin__a-redis,Java,62,medium
bufbuild__protovalidate-java,Java,62,medium
LukenSkyne__Minecraft-Ping-Wheel,Java,69,medium
LordDeatHunter__FabricWaystones,Java,75,medium
jenkinsci__azure-ad-plugin,Java,51,medium
AlexProgrammerDE__PistonQueue,Java,58,medium
PC-Logix__OpenFM,Java,55,medium
confluentinc__rest-utils,Java,64,medium
quarkiverse__quarkus-dapr,Java,56,medium
phax__peppol-reporting,Java,49,medium
jenkinsci__pipeline-maven-plugin,Java,109,large
arconia-io__arconia-cli,Java,107,large
projectnessie__cel-java,Java,145,large
gematik__ref-idp-server,Java,158,large
smallrye__smallrye-common,Java,153,large
signalfx__splunk-otel-java,Java,197,large
Iterable__iterable-android-sdk,Java,107,large
quarkiverse__quarkus-google-cloud-services,Java,121,large
cybersonic__LuCLI,Java,128,large
apache__maven-pmd-plugin,Java,109,large
apache__commons-numbers,Java,136,large
spitfireuptown__datacopilotx,Java,117,large
diennea__carapaceproxy,Java,122,large
wultra__powerauth-push-server,Java,158,large
xdev-software__vaadin-maps-leaflet-flow,Java,125,large
target__POSSUM,Java,109,large
arivan-amin__Cinemayan-Spring-Microservices,Java,122,large
yangSpica27__SPICaWeather3,Java,142,large
flynndi__quarkus-jimmer-extension,Java,150,large
microsoft__kiota-java,Java,111,large
wildfly__jboss-ejb-client,Java,137,large
ConsensusJ__consensusj,Java,181,large
jenkinsci__bitbucket-push-and-pull-request-plugin,Java,162,large
hypertrace__javaagent,Java,163,large
devezhao__persist4j,Java,105,large
jcmgray__symmray,Python,48,small
tylerjwoodfin__tools,Python,22,small
benmaster82__writher,Python,35,small
stac-utils__stac-asset,Python,27,small
feincms__django-cabinet,Python,39,small
RyanJHamby__stock-screener,Python,44,small
HongyunQiu__QevosAgent,Python,27,small
feincms__django-authlib,Python,21,small
opendatahub-io__ai-helpers,Python,20,small
MarksLab-DasLab__RNAGym,Python,25,small
zeroma25__ranobelib-downloader,Python,33,small
ShenSeanChen__launch-DeepResearch-Backend,Python,40,small
Garden-AI__rootstock,Python,38,small
KevinyWu__hug,Python,25,small
aws-controllers-k8s__ec2-controller,Python,25,small
gongyu0918-debug__chinese-official-writing-skill,Python,27,small
annuaire-entreprises-data-gouv-fr__search-api,Python,40,small
jx-wang-s-group__JAX-AMG,Python,32,small
ml-gde__jflux,Python,29,small
slickml__slick-ml,Python,34,small
baseplate-admin__django-ltree-2,Python,20,small
Fratres-X-AI__JamBoy,Python,24,small
ondata__opensdmx,Python,20,small
opensearch-project__opensearch-agent-skills,Python,43,small
jethornton__flexgui,Python,21,small
yashneil75__gitlord,Python,98,medium
jvolkman__repairwheel,Python,94,medium
GalacticDynamics__unxt,Python,112,medium
time-series-machine-learning__tsml-eval,Python,77,medium
originalsage__MR3A,Python,53,medium
MaribelHearm__sgcc-home-assistant-bridg,Python,99,medium
tilde-research__one-layer-deeper,Python,56,medium
nolabs-ai__nono-py,Python,91,medium
dnsimple__dnsimple-python,Python,118,medium
iGavroche__rocm-ninodes,Python,68,medium
dj-kata__sdvx_helper,Python,87,medium
