repo,result,time
23andMe__LDZip,UNSAT(26),4.9767656326293945
walbourn__contentexporter,UNSAT(26),4.883729696273804
wichtounet__swr-calculator,UNSAT(25),4.51421594619751
ekkuleivonen__ducklake-cdc-extension,UNSAT(10),4.833264112472534
leggedrobotics__robot_self_filter,UNSAT(22),4.6375651359558105
Chowdhury-DSP__wdf_compiler,UNSAT(23),4.667123794555664
rt-net__raspimouse_ros2_examples,UNSAT(10),4.302911281585693
bemanproject__optional,UNSAT(10),4.250164985656738
enactic__openarm_can,UNSAT(14),5.474882364273071
openlab-x__OpenCircuitX,UNSAT(5),5.507589817047119
collyn__skey,UNSAT(11),7.07632851600647
aliasgroup__Wifi-Cracker,UNSAT(30),9.610617637634277
Palm1r__llmqore,UNSAT(5),6.417658567428589
IvanMurzak__Unreal-MCP,UNSAT(22),5.317943811416626
joaospinto__sip,UNSAT(10),5.300363779067993
vituha230__Neuro-Skyrim-Integration,UNSAT(13),5.155302286148071
fourthlogic__FLImagingExamplesCpp,UNSAT(10),5.133120059967041
yhirose__cpp-llamalib,UNSAT(15),5.030555486679077
Jazeredz__DLL-Hijacking-Vulnerability-Scanner,UNSAT(30),5.337212800979614
NIRALUser__SPHARM-PDM,UNSAT(54),5.136714220046997
ne-app-eu__krnl,UNSAT(10),5.023398160934448
dtcxzyw__llvm-mutation-based-fuzz-service,UNSAT(30),5.128681898117065
Helldez__BigMoeOnEdge,UNSAT(11),5.464507579803467
2captcha__2captcha-cpp,UNSAT(19),5.72731614112854
chengruiz__stepit,UNSAT(10),6.300912141799927
apt-sim__AdePT,UNSAT(21),7.555799961090088
dskkato__ros2_cuda_ipc,UNSAT(10),6.805540561676025
NiobiumInc__niobium-haze,UNSAT(21),7.932913303375244
Bajie001__ecovacs_bajie_sdk,UNSAT(30),8.005106687545776
scitix__InstantTensor,UNSAT(16),9.473286628723145
llnl__dftracer,UNSAT(30),9.88700532913208
qulacs__scaluq,UNSAT(26),10.127562999725342
NetKit-Labs__memkit,UNSAT(29),11.271660327911377
dddqmmx__arirang,UNSAT(23),9.16522216796875
MartensCedric__antipodal,UNSAT(30),7.691434144973755
flagos-ai__flir,UNSAT(22),7.8990185260772705
Vatrials__League-of-Legends-Visuals-Cheat,UNSAT(16),8.093416929244995
Ekozmaster__Vibe-Reverse-Engineering,UNSAT(33),7.615039825439453
shiguredo__sora-cpp-sdk,UNSAT(22),11.85994815826416
PeterRK__protocache,UNSAT(35),9.933550834655762
KDE__kuserfeedback,UNSAT(14),8.50186038017273
dmalhotra__SCTL,UNSAT(24),8.55925965309143
Bokjan__BravoFinder,UNSAT(32),8.253519058227539
Laeteth__advanced-anti-sandbox-Virtual-Machine,UNSAT(44),8.12134575843811
devzendo__transputer-emulator,UNSAT(23),7.7989020347595215
vllm-project__vllm-xpu-kernels,UNSAT(22),7.7256529331207275
gorkemgun__ksu-frida,UNSAT(16),7.617122173309326
EnderMo__PoggetCore,UNSAT(21),7.610114097595215
kernelwernel__llarm,UNSAT(44),8.324578046798706
aifoundry-org__hf-hackathon,UNSAT(19),7.194539308547974
ospray__anari-ospray,UNSAT(12),7.997057199478149
openbmc__openpower-vpd-parser,UNSAT(26),8.548137903213501
condy-cpp__condy,UNSAT(16),9.142098903656006
GlomarGadaffi__pocket-dial,UNSAT(24),9.996646165847778
tatami-inc__tatami,UNSAT(26),9.311585426330566
bitcoinfuzz__bitcoinfuzz,UNSAT(35),8.794331073760986
lynx-family__lynxtron,UNSAT(20),8.633904457092285
BenBerke__Tilky-Engine,UNSAT(32),7.907053232192993
suprepupre__wow-optimize,UNSAT(10),13.455105543136597
lynx-family__debug-router,UNSAT(46),10.094285488128662
trailcode__EzyCad,UNSAT(51),12.362669706344604
zushinzackery2-ship-it__Unity202x-eXternalrEsolve,UNSAT(19),12.840847253799438
berthubert__tkconv,UNSAT(43),9.904406785964966
qr-rp__GO_Midi,UNSAT(38),8.156279802322388
MetaversalCorp__Sneeze,UNSAT(31),7.951106071472168
Open-CMSIS-Pack__devtools,UNSAT(20),8.012816429138184
masterai-top__cfr-poker-ai-masterai,UNSAT(31),8.054999828338623
yamacir-kit__meevax,UNSAT(45),7.572511434555054
schrodinger__sketcher,UNSAT(22),8.323118448257446
DigitalPulseSoftware__ThisSpaceOfMine,UNSAT(41),7.735568284988403
opendcdiag__opendcdiag,UNSAT(32),8.362817764282227
GuntherRademacher__rex-parser-generator,UNSAT(37),9.817224025726318
dbrizov__hob2d,UNSAT(31),7.930713415145874
CoolProp__CoolSolve,UNSAT(36),8.891780853271484
