repo,lang,typeCount,result,violations,elapsed_s
Chowdhury-DSP__wdf_compiler,C++,216,UNSAT,39,0.8
leggedrobotics__robot_self_filter,C++,193,UNSAT,39,0.9
bemanproject__optional,C++,215,UNSAT,35,0.9
Palm1r__llmqore,C++,237,UNSAT,12,0.9
enactic__openarm_can,C++,202,UNSAT,37,1.1
vituha230__Neuro-Skyrim-Integration,C++,234,UNSAT,35,1.1
wichtounet__swr-calculator,C++,210,UNSAT,42,1.1
collyn__skey,C++,202,UNSAT,34,0.9
chengruiz__stepit,C++,194,UNSAT,32,0.8
Helldez__BigMoeOnEdge,C++,215,UNSAT,33,0.8
yhirose__cpp-llamalib,C++,237,UNSAT,29,0.8
ekkuleivonen__ducklake-cdc-extension,C++,234,UNSAT,32,0.8
IvanMurzak__Unreal-MCP,C++,198,UNSAT,38,0.9
joaospinto__sip,C++,197,UNSAT,31,0.9
23andMe__LDZip,C++,208,UNSAT,67,1.0
rt-net__raspimouse_ros2_examples,C++,195,UNSAT,31,0.8
JuPfu__hub75,C++,219,UNSAT,56,0.9
dtcxzyw__llvm-mutation-based-fuzz-service,C++,202,UNSAT,66,0.9
openlab-x__OpenCircuitX,C++,197,UNSAT,13,0.9
Jazeredz__DLL-Hijacking-Vulnerability-Scanner,C++,227,UNSAT,67,0.9
aliasgroup__Wifi-Cracker,C++,207,UNSAT,67,0.9
fourthlogic__FLImagingExamplesCpp,C++,222,UNSAT,31,0.8
2captcha__2captcha-cpp,C++,230,UNSAT,63,0.9
NIRALUser__SPHARM-PDM,C++,216,UNSAT,64,0.9
ne-app-eu__krnl,C++,219,UNSAT,28,0.8
NiobiumInc__niobium-haze,C++,267,UNSAT,67,0.8
Bajie001__ecovacs_bajie_sdk,C++,249,UNSAT,67,0.8
Vatrials__League-of-Legends-Visuals-Cheat,C++,272,UNSAT,41,0.8
llnl__dftracer,C++,246,UNSAT,67,0.8
shiguredo__sora-cpp-sdk,C++,271,UNSAT,39,0.9
NetKit-Labs__memkit,C++,278,UNSAT,55,0.8
dddqmmx__arirang,C++,289,UNSAT,66,0.9
vllm-project__vllm-xpu-kernels,C++,280,UNSAT,48,0.8
scitix__InstantTensor,C++,293,UNSAT,44,0.9
devzendo__transputer-emulator,C++,268,UNSAT,41,0.9
PeterRK__protocache,C++,269,UNSAT,78,0.9
Ekozmaster__Vibe-Reverse-Engineering,C++,253,UNSAT,74,1.0
EnderMo__PoggetCore,C++,260,UNSAT,63,1.0
dmalhotra__SCTL,C++,254,UNSAT,42,0.8
Bokjan__BravoFinder,C++,272,UNSAT,69,0.8
kernelwernel__llarm,C++,285,UNSAT,87,0.9
flagos-ai__flir,C++,274,UNSAT,38,0.7
Laeteth__advanced-anti-sandbox-Virtual-Machine,C++,246,UNSAT,69,0.8
KDE__kuserfeedback,C++,286,UNSAT,36,0.9
MartensCedric__antipodal,C++,252,UNSAT,63,0.8
qulacs__scaluq,C++,280,UNSAT,42,0.8
gorkemgun__ksu-frida,C++,275,UNSAT,44,0.8
dskkato__ros2_cuda_ipc,C++,260,UNSAT,40,0.7
apt-sim__AdePT,C++,251,UNSAT,63,0.8
aifoundry-org__hf-hackathon,C++,255,UNSAT,62,0.8
GlomarGadaffi__pocket-dial,C++,321,UNSAT,48,0.9
zushinzackery2-ship-it__Unity202x-eXternalrEsolve,C++,296,UNSAT,61,0.8
bitcoinfuzz__bitcoinfuzz,C++,333,UNSAT,69,1.2
lynx-family__lynxtron,C++,361,UNSAT,47,1.3
BenBerke__Tilky-Engine,C++,318,UNSAT,74,1.2
schrodinger__sketcher,C++,310,UNSAT,64,0.9
qr-rp__GO_Midi,C++,335,UNSAT,81,1.0
yamacir-kit__meevax,C++,333,UNSAT,89,1.0
ospray__anari-ospray,C++,298,UNSAT,28,0.9
suprepupre__wow-optimize,C++,371,UNSAT,32,1.0
berthubert__tkconv,C++,373,UNSAT,100,1.0
masterai-top__cfr-poker-ai-masterai,C++,318,UNSAT,54,0.7
tatami-inc__tatami,C++,340,UNSAT,40,0.7
openbmc__openpower-vpd-parser,C++,346,UNSAT,93,0.9
condy-cpp__condy,C++,335,UNSAT,61,0.8
Open-CMSIS-Pack__devtools,C++,312,UNSAT,63,0.8
MetaversalCorp__Sneeze,C++,327,UNSAT,72,0.8
DigitalPulseSoftware__ThisSpaceOfMine,C++,375,UNSAT,91,0.7
trailcode__EzyCad,C++,380,UNSAT,99,1.1
opendcdiag__opendcdiag,C++,366,UNSAT,79,0.8
GuntherRademacher__rex-parser-generator,C++,340,UNSAT,71,1.1
lynx-family__debug-router,C++,353,UNSAT,72,0.9
dbrizov__hob2d,C++,350,UNSAT,90,0.9
CoolProp__CoolSolve,C++,341,UNSAT,79,0.8
