repo,lang,typeCount,result,violations,elapsed_s
CourseOrchestra__hurdy-gurdy,Java,23,UNSAT,4,0.4
alina-yur__swiss-travel-advisor,Java,25,SAT,0,0.4
jonashackt__cxf-spring-cloud-netflix-docker,Java,37,UNSAT,2,0.4
jenkinsci__jenkins-multijob-plugin,Java,38,UNSAT,3,0.5
jenkinsci__dockerhub-notification-plugin,Java,34,SAT,0,0.4
ericgrandt__TotalEconomy,Java,39,UNSAT,21,0.4
Cantara__Java-Auto-Update,Java,27,SAT,0,0.4
societe-generale__arch-unit-build-plugin-core,Java,36,UNSAT,3,0.4
bsommerfeld__jshepherd,Java,27,UNSAT,2,0.4
nitrado__hytale-plugin-webserver,Java,39,UNSAT,5,0.5
Andre601__OneVersionRemake,Java,23,UNSAT,3,0.4
yananlemon__LemonC,Java,26,SAT,0,0.6
taowater__ztream,Java,28,UNSAT,42,0.5
jenkinsci__docker-commons-plugin,Java,32,UNSAT,4,0.4
jenkinsci__git-forensics-plugin,Java,31,UNSAT,2,0.5
ralscha__webauthn-demo,Java,25,SAT,0,0.4
Tater-Certified__Oxidizium,Java,38,UNSAT,2,0.5
jenkins-infra__repository-permissions-updater,Java,31,SAT,0,0.5
micronaut-projects__micronaut-mongodb,Java,36,UNSAT,3,0.4
liquibase__liquibase-percona,Java,23,SAT,0,0.5
micronaut-projects__micronaut-aot,Java,42,UNSAT,2,0.5
jonas-grgt__bob,Java,34,UNSAT,4,0.5
jenkinsci__dependency-track-plugin,Java,40,UNSAT,1,0.5
Zergatul__cheatutils,Java,29,SAT,0,0.4
WiIIiam278__PAPIProxyBridge,Java,32,UNSAT,4,0.4
quarkiverse__quarkus-fx,Java,48,UNSAT,2,0.4
gradlex-org__jvm-dependency-conflict-resolution,Java,79,UNSAT,8,0.6
wso2__maven-tools,Java,63,UNSAT,10,0.6
66-m__sorting-visualizer,Java,82,SAT,0,0.6
TheodoreMeyer__SimpleVoice-Geyser,Java,74,UNSAT,8,0.5
debezium__debezium-operator,Java,99,UNSAT,4,0.7
spdx__Spdx-Java-Library,Java,45,UNSAT,15,0.7
LWJGLX__debug,Java,60,UNSAT,68,0.7
jesuino__java-ml-projects,Java,55,UNSAT,3,0.5
xdev-software__vaadin-grid-exporter,Java,69,SAT,0,0.5
Crazy-Crew__CrazyEnvoys,Java,65,UNSAT,7,0.6
exbin__bined-intellij-plugin,Java,64,UNSAT,3,0.6
vennarshulytz__validation-parent,Java,86,UNSAT,4,0.5
bitcoinj__secp256k1-jdk,Java,61,UNSAT,15,0.6
atp-mipt__jsyntrax,Java,46,UNSAT,1,0.6
kbuntrock__openapi-maven-plugin,Java,86,UNSAT,3,0.8
Bawnorton__Neruina,Java,56,UNSAT,8,0.6
jeyben__fixedformat4j,Java,97,UNSAT,11,0.8
JetBrains__teamcity-kubernetes-plugin,Java,52,SAT,0,0.6
quarkiverse__quarkus-web-bundler,Java,77,UNSAT,3,0.6
gradle__develocity-build-config-samples,Java,58,UNSAT,2,0.5
AlexProgrammerDE__PistonChat,Java,76,UNSAT,4,0.7
micronaut-projects__micronaut-graphql,Java,73,UNSAT,2,0.5
PaperMC__adventure-platform-mod,Java,71,UNSAT,5,0.5
CloudburstMC__Network,Java,82,UNSAT,6,0.6
metao1__microservice-online-store,Java,193,UNSAT,14,0.7
AuthMe__ConfigMe,Java,113,UNSAT,11,0.6
sbabcoc__Selenium-Foundation,Java,155,UNSAT,9,0.7
hhy50__macaque-hotswap,Java,191,UNSAT,3,0.6
tzebrowski__ObdMetrics,Java,172,UNSAT,7,0.6
The-OAG-Development-Project__Application-Gateway,Java,136,UNSAT,1,0.7
Kiroha__byd-dashcast,Java,127,UNSAT,7,1.3
SmartWalkieOrg__VoicePing-Walkie-Talkie-AndroidSDK,Java,177,UNSAT,26,1.2
DFOnline__CodeClient,Java,188,UNSAT,14,1.0
arconia-io__arconia-cli,Java,107,UNSAT,5,0.8
apache__commons-statistics,Java,190,UNSAT,8,1.2
Files-com__files-sdk-java,Java,169,UNSAT,570,2.5
wultra__powerauth-push-server,Java,158,UNSAT,6,0.7
xdev-software__vaadin-maps-leaflet-flow,Java,125,UNSAT,21,0.8
wish131400__zstdnet,Java,130,UNSAT,15,0.9
aws__aws-xray-sdk-java,Java,155,UNSAT,35,0.8
yangSpica27__SPICaWeather3,Java,142,UNSAT,29,0.8
hal__elemento,Java,180,UNSAT,61,0.8
palantir__conjure-java,Java,170,UNSAT,18,0.7
wildfly__jboss-ejb-client,Java,137,UNSAT,20,0.8
cybersonic__LuCLI,Java,128,UNSAT,26,0.9
mcollovati__quarkus-hilla,Java,150,UNSAT,15,0.6
JUKOMU__JMComic-Api-Java,Java,124,UNSAT,13,0.9
eclab__seq,Java,146,UNSAT,70,1.2
greencapk8s__greencap-k8s,Java,138,UNSAT,3,0.8
