repo,lang,typeCount,result,violations,elapsed_s
conda__menuinst,Python,41,SAT,0,0.5
xDarkzx__Reaper-MCP,Python,36,SAT,0,0.4
Fratres-X-AI__JamBoy,Python,24,SAT,0,0.5
SmolinskiP__GLaSSIST,Python,32,SAT,0,0.5
JesseRWeigel__minecraft-agent-swarm,Python,48,SAT,0,0.5
fizyk__pyramid_fullauth,Python,46,UNSAT,2,0.4
ra1nb0rn__search_vulns,Python,41,SAT,0,0.5
monosans__pyromark,Python,28,SAT,0,0.4
jpmorganchase__nbcelltests,Python,31,SAT,0,0.4
IBM__tnz,Python,31,SAT,0,0.6
magnus919__hermes-council,Python,31,SAT,0,0.4
benmaster82__writher,Python,35,SAT,0,0.5
jcmgray__symmray,Python,48,SAT,0,0.6
annuaire-entreprises-data-gouv-fr__search-api,Python,40,SAT,0,0.4
luongnv89__skills,Python,27,SAT,0,0.4
NVIDIA__nemoclaw-community,Python,48,UNSAT,1,0.4
feincms__django-content-editor,Python,44,UNSAT,1,0.4
ShravanDalavi__Simple-Python-Mini-Projects,Python,32,SAT,0,0.4
DoctorDean__lazarus,Python,26,SAT,0,0.4
pyiron__pysqa,Python,54,SAT,0,0.6
KevinyWu__hug,Python,25,SAT,0,0.4
petrobras__ccp,Python,31,SAT,0,0.5
ml-gde__jflux,Python,29,SAT,0,0.4
TakWolf__pixel-font-builder,Python,31,SAT,0,0.5
rayakame__sqlc-gen-better-python,Python,54,SAT,0,0.7
the-momentum__python-ai-kit,Python,69,SAT,0,0.4
openreview__openreview-expertise,Python,68,UNSAT,1,0.6
ryota-komatsu__speaker_disentangled_hubert,Python,58,SAT,0,0.5
fixator10__Fixator10-Cogs,Python,85,SAT,0,0.4
kunkundi__niuone,Python,106,SAT,0,0.6
eXPerience83__pollenlevels,Python,76,SAT,0,0.4
kaelthasmanu__SquidStats,Python,63,SAT,0,0.6
vertti__daffy,Python,98,SAT,0,0.6
pyiron__executorlib,Python,89,UNSAT,2,0.6
paradedb__django-paradedb,Python,80,SAT,0,0.5
hhopke__intervals-icu-mcp,Python,96,SAT,0,0.4
drkostas__hevy2garmin,Python,78,SAT,0,0.6
broadinstitute__python-cert_manager,Python,76,SAT,0,0.8
KuiChi-x__reverseloom,Python,76,UNSAT,1,0.7
timlnx__bitmath,Python,72,UNSAT,1,0.8
beamme-py__beamme,Python,73,SAT,0,0.6
openebs__rawfile-localpv,Python,94,SAT,0,0.7
AndreMarcato__PySDDP,Python,101,SAT,0,0.7
bitflicker64__Termstory,Python,66,SAT,0,0.7
cdnninja__yoto_api,Python,66,SAT,0,0.6
maxmind__minfraud-api-python,Python,59,SAT,0,0.6
clemsgrs__hs2p,Python,91,SAT,0,0.7
xdgrulez__kafi,Python,62,UNSAT,2,0.8
monte-carlo-data__mc-agent-toolkit,Python,59,SAT,0,0.6
ioos__ioos_qc,Python,66,SAT,0,0.5
WaterplanAI__agentic-config,Python,129,SAT,0,0.6
ArthurkaX__cds-text-sync,Python,139,SAT,0,0.6
mindee__mindee-api-python,Python,227,SAT,0,0.6
microsoft__olive-recipes,Python,221,UNSAT,1,0.6
oncodash__ontoweaver,Python,140,UNSAT,2,0.6
robonet-ai__handumi-sw,Python,183,SAT,0,0.8
globus__globus-cli,Python,138,UNSAT,2,0.6
sonolink__sonolink,Python,169,UNSAT,4,0.7
alepee__hass-hitachi_yutaki,Python,139,UNSAT,1,0.8
CDCgov__PyRenew,Python,176,SAT,0,0.9
sanders41__meilisearch-python-sdk,Python,120,UNSAT,3,0.7
GoogleCloudPlatform__evalbench,Python,234,UNSAT,1,0.8
Kongminsang__bevtraj,Python,174,UNSAT,1,0.6
serenita-org__vero,Python,182,SAT,0,0.6
idaholab__MontePy,Python,185,UNSAT,23,0.9
nbprint__nbprint,Python,162,SAT,0,0.7
aws-neuron__nkipy,Python,143,SAT,0,0.7
entrius__gittensor,Python,220,SAT,0,0.7
ai-dynamo__modelexpress,Python,209,UNSAT,1,0.9
liquidz00__Patcher,Python,233,SAT,0,0.7
nerd-sniped__GitPDM,Python,216,SAT,0,0.8
tibuntu__homeassistant-kubernetes,Python,204,SAT,0,0.7
civictechdc__cib-mango-tree,Python,143,SAT,0,0.7
Starnodes2024__ComfyUI_StarNodes,Python,188,UNSAT,2,0.7
torch-spyre__sendnn-inference,Python,137,UNSAT,1,0.7
