repo,lang,typeCount,totalViolations,rate,AbstractionPolicy,IdentifierIntegrity,InterfacePolicy,LocalMethodNamespace
societe-generale__arch-unit-build-plugin-core,Java,36,3,0.08333333333333333,,,,3
Cantara__Java-Auto-Update,Java,27,0,0.0,,,,
alina-yur__swiss-travel-advisor,Java,25,0,0.0,,,,
wiremock__wiremock-grpc-extension,Java,31,5,0.16129032258064516,2,,2,1
jenkinsci__git-forensics-plugin,Java,31,2,0.06451612903225806,,,,2
jenkins-infra__repository-permissions-updater,Java,31,0,0.0,,,,
huangsam__photohaul,Java,44,4,0.09090909090909091,,,,4
cronn__reflection-util,Java,29,14,0.4827586206896552,,,,14
camunda-community-hub__camunda-platform-7-mail,Java,38,0,0.0,,,,
taowater__ztream,Java,28,421,15.035714285714286,181,,198,42
pivotal-cf__java-cfenv,Java,48,11,0.22916666666666666,2,,1,8
bancolombia__secrets-manager,Java,32,10,0.3125,,,,10
rundeck-plugins__salt-step,Java,23,1,0.043478260869565216,,,,1
micronaut-projects__micronaut-test,Java,42,20,0.47619047619047616,1,1,15,3
Andre601__OneVersionRemake,Java,23,7,0.30434782608695654,,,4,3
xzel23__cabe,Java,27,2,0.07407407407407407,,1,,1
teaconmc__SlideShow,Java,45,22,0.4888888888888889,,,21,1
HL7-DaVinci__prior-auth,Java,30,2,0.06666666666666667,,,,2
ihub-pub__libs,Java,33,30,0.9090909090909091,10,,14,6
ocadotechnology__test-arranger,Java,26,2,0.07692307692307693,,,,2
shinovon__mpgram-client,Java,40,25,0.625,,,,25
spdx__Spdx-Java-Library,Java,45,15,0.3333333333333333,,,,15
quarkiverse__quarkus-fx,Java,48,2,0.041666666666666664,,1,1,
GouravRusiya30__SpringBootRestAPI,Java,28,0,0.0,,,,
Tater-Certified__Oxidizium,Java,38,5,0.13157894736842105,2,,1,2
opensearch-project__query-insights,Java,89,14,0.15730337078651685,,,1,13
gradlex-org__jvm-dependency-conflict-resolution,Java,79,7,0.08860759493670886,,1,,6
PaperMC__adventure-platform-mod,Java,71,51,0.7183098591549296,12,,34,5
spiffe__java-spiffe,Java,78,17,0.21794871794871795,,1,9,7
jesuino__java-ml-projects,Java,55,3,0.05454545454545454,,,,3
66-m__sorting-visualizer,Java,82,1,0.012195121951219513,,,1,
eProsima__IDL-Parser,Java,62,7,0.11290322580645161,,,,7
oras-project__oras-java,Java,54,32,0.5925925925925926,,,,32
Lord-of-Algorithms__DSA-in-Java,Java,98,2,0.02040816326530612,,,,2
vennarshulytz__validation-parent,Java,86,28,0.32558139534883723,22,1,3,2
elder-oss__sourcerer,Java,89,51,0.5730337078651685,,,29,22
gradlex-org__java-module-dependencies,Java,53,9,0.16981132075471697,,1,,8
Suiranoil__SkinRestorer,Java,97,22,0.2268041237113402,10,,2,10
CloudburstMC__Network,Java,82,43,0.524390243902439,,,37,6
bitcoinj__secp256k1-jdk,Java,61,127,2.081967213114754,38,,74,15
MattMin__a-redis,Java,62,6,0.0967741935483871,,,,6
bufbuild__protovalidate-java,Java,62,1,0.016129032258064516,,,,1
LukenSkyne__Minecraft-Ping-Wheel,Java,69,3,0.043478260869565216,,,3,
LordDeatHunter__FabricWaystones,Java,75,7,0.09333333333333334,,,,7
jenkinsci__azure-ad-plugin,Java,51,93,1.8235294117647058,64,,25,4
AlexProgrammerDE__PistonQueue,Java,58,53,0.9137931034482759,32,,21,
PC-Logix__OpenFM,Java,55,2,0.03636363636363636,,,2,
confluentinc__rest-utils,Java,64,7,0.109375,,,2,5
quarkiverse__quarkus-dapr,Java,56,10,0.17857142857142858,,1,,9
phax__peppol-reporting,Java,49,6,0.12244897959183673,3,,3,
jenkinsci__pipeline-maven-plugin,Java,109,23,0.21100917431192662,5,,2,16
arconia-io__arconia-cli,Java,107,16,0.14953271028037382,6,,5,5
projectnessie__cel-java,Java,145,85,0.5862068965517241,10,,68,7
gematik__ref-idp-server,Java,158,8,0.05063291139240506,,1,2,5
smallrye__smallrye-common,Java,153,260,1.6993464052287581,66,1,124,69
signalfx__splunk-otel-java,Java,197,22,0.1116751269035533,2,,11,9
Iterable__iterable-android-sdk,Java,107,43,0.40186915887850466,2,,2,39
quarkiverse__quarkus-google-cloud-services,Java,121,3,0.024793388429752067,,,1,2
cybersonic__LuCLI,Java,128,43,0.3359375,12,,5,26
apache__maven-pmd-plugin,Java,109,1,0.009174311926605505,,1,,
apache__commons-numbers,Java,136,87,0.6397058823529411,4,,10,73
spitfireuptown__datacopilotx,Java,117,2,0.017094017094017096,,,,2
diennea__carapaceproxy,Java,122,47,0.38524590163934425,22,,15,10
wultra__powerauth-push-server,Java,158,6,0.0379746835443038,,,,6
xdev-software__vaadin-maps-leaflet-flow,Java,125,399,3.192,341,,37,21
target__POSSUM,Java,109,1,0.009174311926605505,,,,1
arivan-amin__Cinemayan-Spring-Microservices,Java,122,0,0.0,,,,
yangSpica27__SPICaWeather3,Java,142,37,0.2605633802816901,,,8,29
flynndi__quarkus-jimmer-extension,Java,150,274,1.8266666666666667,42,,167,65
microsoft__kiota-java,Java,111,16,0.14414414414414414,,,3,13
wildfly__jboss-ejb-client,Java,137,40,0.291970802919708,,,20,20
ConsensusJ__consensusj,Java,181,219,1.2099447513812154,88,,100,31
jenkinsci__bitbucket-push-and-pull-request-plugin,Java,162,138,0.8518518518518519,77,,44,17
hypertrace__javaagent,Java,163,7,0.04294478527607362,1,,2,4
devezhao__persist4j,Java,105,49,0.4666666666666667,8,,22,19
