Repository,Result,Constraint,Line,Description
AdoptOpenJDK__jitwatch,UNSAT,InterfacePolicy,,Interface Class91 contains non-abstract method Method755
AdoptOpenJDK__jitwatch,UNSAT,InterfacePolicy,,Interface Class91 contains non-abstract method Method758
AdoptOpenJDK__jitwatch,UNSAT,InterfacePolicy,,Interface Class125 contains non-abstract method Method995
AdoptOpenJDK__jitwatch,UNSAT,LocalMethodNamespace,,"Duplicate method name 'getProperty' in class Class10: Method72, Method73"
aeron-io__agrona,UNSAT,IdentifierIntegrity,,"Duplicate name 'org.agrona.BitUtil' used by: Class4, Class5"
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class81 contains non-abstract method Method1316
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class81 contains non-abstract method Method1317
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class108 contains non-abstract method Method1432
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class176 contains non-abstract method Method1899
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class192 contains non-abstract method Method1976
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class10 has field Field55
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class10 has field Field56
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class10 has field Field57
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class10 has field Field58
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class85 has field Field610
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class85 has field Field611
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class85 has field Field612
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class156 has field Field1382
aeron-io__agrona,UNSAT,InterfacePolicy,,Interface Class156 has field Field1383
aeron-io__agrona,UNSAT,LocalMethodNamespace,,"Duplicate method name 'getBytes' in class Class0: Method10, Method11, Method12, Method13, Method14"
airbnb__AirMapView,UNSAT,InterfacePolicy,,Interface Class5 has field Field15
airbnb__AirMapView,UNSAT,InterfacePolicy,,Interface Class5 has field Field16
airbnb__AirMapView,UNSAT,InterfacePolicy,,Interface Class5 has field Field17
airbnb__AirMapView,UNSAT,LocalMethodNamespace,,"Duplicate method name 'addMarker' in class Class1: Method7, Method8"
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class219 contains non-abstract method Method514
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class342 contains non-abstract method Method1119
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class352 contains non-abstract method Method1138
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class352 contains non-abstract method Method1139
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class352 contains non-abstract method Method1140
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class352 contains non-abstract method Method1141
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class352 contains non-abstract method Method1142
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 contains non-abstract method Method1150
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 contains non-abstract method Method1151
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 contains non-abstract method Method1152
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 contains non-abstract method Method1153
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 contains non-abstract method Method1154
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class396 contains non-abstract method Method1275
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class399 contains non-abstract method Method1305
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class423 contains non-abstract method Method1471
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class440 contains non-abstract method Method1563
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class226 has field Field700
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class230 has field Field705
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class231 has field Field706
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class247 has field Field732
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class299 has field Field775
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class330 has field Field830
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 has field Field858
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 has field Field859
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class359 has field Field860
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class396 has field Field905
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class440 has field Field983
alibaba__compileflow,UNSAT,InterfacePolicy,,Interface Class481 has field Field1068
alibaba__compileflow,UNSAT,LocalMethodNamespace,,"Duplicate method name 'deploy' in class Class1: Method0, Method1"
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method67
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method69
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method74
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method75
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method79
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method80
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method81
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method82
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method83
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method84
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method85
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method86
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method87
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method88
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 contains non-abstract method Method89
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method126
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method128
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method129
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class21 contains non-abstract method Method131
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class21 contains non-abstract method Method134
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class21 contains non-abstract method Method136
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class32 contains non-abstract method Method201
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 contains non-abstract method Method271
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 contains non-abstract method Method272
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class13 has field Field6
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field71
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field72
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field73
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field74
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field75
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field76
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field77
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field78
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field79
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field80
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field81
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class38 has field Field82
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class48 has field Field86
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class48 has field Field87
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class48 has field Field88
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class48 has field Field89
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class48 has field Field90
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class48 has field Field91
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class49 has field Field92
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class49 has field Field93
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class49 has field Field94
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class49 has field Field95
alibaba__jetcache,UNSAT,InterfacePolicy,,Interface Class49 has field Field96
alibaba__jetcache,UNSAT,LocalMethodNamespace,,"Duplicate method name 'computeIfAbsent' in class Class10: Method23, Method24"
alibaba__transmittable-thread-local,UNSAT,InterfacePolicy,,Interface Class0 contains non-abstract method Method0
alibaba__transmittable-thread-local,UNSAT,InterfacePolicy,,Interface Class0 contains non-abstract method Method1
alibaba__transmittable-thread-local,UNSAT,InterfacePolicy,,Interface Class0 contains non-abstract method Method2
alibaba__transmittable-thread-local,UNSAT,InterfacePolicy,,Interface Class0 contains non-abstract method Method3
alibaba__transmittable-thread-local,UNSAT,InterfacePolicy,,Interface Class63 contains non-abstract method Method372
alibaba__transmittable-thread-local,UNSAT,InterfacePolicy,,Interface Class25 has field Field50
alibaba__transmittable-thread-local,UNSAT,InterfacePolicy,,Interface Class87 has field Field208
alibaba__transmittable-thread-local,UNSAT,LocalMethodNamespace,,"Duplicate method name 'withInitialAndCopier' in class Class6: Method34, Method35"
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method158
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method159
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method160
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method161
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method162
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method164
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method165
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method166
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method167
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method168
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method169
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method170
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method171
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method172
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method173
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method174
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method175
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method176
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method177
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method178
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method179
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method180
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method181
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method182
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method183
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method184
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method418
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method419
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method420
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method421
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method422
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method423
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method424
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method425
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method427
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method428
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method429
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method430
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method431
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method432
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method433
